id,sexo,edad,edad_r,hab,prov,ccaa,hijos,edu,cs,p1,p2,p3,p4,p5_1,p5_2,p5_3,p5_4,p6,p7,p8_1,p8_2,p8_3,p8_4,p8_5,p8_6,p8_7,p8_8,p8_9,p9_1,p9_2,p9_3,p9_4,p9_5,p9_6,p9_7,p9_8,p9_9,p10,p11_1,p11_2,p11_3,p11_4,p11_5,p11_6,p12,p13_1,p13_2,p13_3,p13_4,p13_5,p13_6,p13_7,p13_8,hab_r,clase_social_r,situacion_laboral_r,educacion_r,ponde
637,Mujer,41,35-44,100.001 - 500.000,Madrid,"Madrid, Comunidad de","Sí, con uno/a de 9 a 12 años",Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3º y 4º de ESO COU PREU 1º y 2º Bachillerato hasta los,E2,He tenido/se ha tenido que echar mano del ahorro,7,Sumar,Sumar,3,0 no le votaría nunca,0 no le votaría nunca,9,No voté,2,Mucho,Bastante,Bastante,Mucho,Mucho,Mucho,Poco,Bastante,Mucho,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,"Sufro o he sufrido ansiedad, depresión","Sufro o he sufrido ansiedad, depresión",No he sentido nada esto,No he sentido nada esto,Siento o he sentido desánimo y/o pesimismo,"Sí, he oído hablar de ella",Bastante de acuerdo,Bastante de acuerdo,Poco de acuerdo,Muy de acuerdo,Bastante de acuerdo,Poco de acuerdo,No lo sé,No lo sé,No lo sé,Mal,Regular,Mal,Regular,Mal,Mal,Más de 10.000,Media baja / Baja,Parado,"Segundo grado, segundo ciclo",1.196406241984733
638,Mujer,46,45-54,< 10.000,Lleida,Cataluña,"Sí, con uno/a de 0 a 8 años",Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3º y 4º de ESO COU PREU 1º y 2º Bachillerato hasta los,E1,He tenido/se ha tenido que echar mano del ahorro,"0 con toda seguridad, NO iría a votar",PSOE (Partido Socialista Obrero Español),PSOE (Partido Socialista Obrero Español),10 le votaría siempre,0 no le votaría nunca,0 no le votaría nunca,0 no le votaría nunca,ERC (Esquerra Republicana de Catalunya),0 extrema izquierda,Mucho,Mucho,Nada,Mucho,Mucho,Mucho,Mucho,Poco,Mucho,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,No he sentido nada esto,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,"Sufro o he sufrido ansiedad, depresión",No he sentido nada esto,"Sufro o he sufrido ansiedad, depresión","Sí, he seguido con cierto detalle las noticias sobre la guerra",Muy de acuerdo,Muy de acuerdo,Bastante de acuerdo,Nada de acuerdo,Muy de acuerdo,Bastante de acuerdo,No lo sé,Muy bien,Muy bien,Muy bien,Muy bien,Muy bien,Muy mal,Muy mal,Muy mal,Menos de 10.000,Media baja / Baja,Pensionista,"Segundo grado, segundo ciclo",1.0442861477396583
639,Mujer,32,25-34,10.001 - 20.000,Pontevedra,Galicia,"Sí, con uno/a de 0 a 8 años",Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3º y 4º de ESO COU PREU 1º y 2º Bachillerato hasta los,A2,Ahorro/se ahorra un poco de dinero cada mes,"10 con toda seguridad, iría a votar",PP (Partido Popular),PP (Partido Popular),4,10 le votaría siempre,7,3,PP (Partido Popular),7,Bastante,Mucho,Mucho,Mucho,Mucho,Bastante,Bastante,Poco,Bastante,No he sentido nada esto,"Sufro o he sufrido ansiedad, depresión",Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,"Sufro o he sufrido ansiedad, depresión",Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,No he sentido nada esto,Siento o he sentido desánimo y/o pesimismo,"Sí, he oído hablar de ella",Muy de acuerdo,Poco de acuerdo,No lo sé,Muy de acuerdo,Nada de acuerdo,Bastante de acuerdo,Con Palestina,Bien,Bien,No lo sé,Bien,Bien,Regular,Muy bien,Muy bien,Más de 10.000,Alta / Media Alta,Trabaja,"Segundo grado, segundo ciclo",0.9131576059317675
640,Hombre,66,65+,< 10.000,Barcelona,Cataluña,"Sí, con uno/a de 13 a 17 años",Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3º y 4º de ESO COU PREU 1º y 2º Bachillerato hasta los,B,He tenido/se ha tenido que echar mano del ahorro,"10 con toda seguridad, iría a votar",PP (Partido Popular),PP (Partido Popular),0 no le votaría nunca,10 le votaría siempre,8,0 no le votaría nunca,PP (Partido Popular),9,Bastante,Mucho,Bastante,Bastante,Mucho,Bastante,Poco,Bastante,Poco,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,No he sentido nada esto,"Sí, he seguido con cierto detalle las noticias sobre la guerra",Bastante de acuerdo,Poco de acuerdo,Poco de acuerdo,Muy de acuerdo,Poco de acuerdo,Bastante de acuerdo,Con Israel,Bien,Bien,Bien,Mal,Regular,Muy mal,Bien,Bien,Menos de 10.000,Alta / Media Alta,Pensionista,"Segundo grado, segundo ciclo",1.0611932483572355
641,Mujer,52,45-54,50.001 - 100.000,Barcelona,Cataluña,"Sí, con uno/a de 18 años o más",Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3º y 4º de ESO COU PREU 1º y 2º Bachillerato hasta los,A1,Ahorro/se ahorra un poco de dinero cada mes,7,No lo sé,PP (Partido Popular),2,7,0 no le votaría nunca,5,PP (Partido Popular),5,Mucho,Bastante,Poco,Bastante,Mucho,Bastante,Bastante,Poco,Bastante,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,No he sentido nada esto,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,No he sentido nada esto,"Sufro o he sufrido ansiedad, depresión","Sí, he seguido con cierto detalle las noticias sobre la guerra",Nada de acuerdo,Bastante de acuerdo,Poco de acuerdo,Bastante de acuerdo,Bastante de acuerdo,Poco de acuerdo,Con Palestina,Regular,Bien,Regular,Muy bien,Regular,Regular,Regular,Mal,Más de 10.000,Alta / Media Alta,Parado,"Segundo grado, segundo ciclo",1.0544835170160274
642,Hombre,67,65+,10.001 - 20.000,Tarragona,Cataluña,"Sí, con uno/a de 18 años o más","Licenciatura, Grado - 2º Ciclo (Universitarios, Licenciados superiores, Facultades, Escuelas técnicas superiores, etc.",A2,Llego/se llega justo a final de mes,"10 con toda seguridad, iría a votar",PP (Partido Popular),PP (Partido Popular),0 no le votaría nunca,8,7,0 no le votaría nunca,PP (Partido Popular),8,Poco,Poco,Bastante,Bastante,Mucho,Bastante,Poco,Mucho,Poco,No he sentido nada esto,Siento o he sentido desánimo y/o pesimismo,"Sufro o he sufrido ansiedad, depresión",Siento o he sentido desánimo y/o pesimismo,"Sufro o he sufrido ansiedad, depresión",Siento o he sentido desánimo y/o pesimismo,No he sentido nada esto,"Sufro o he sufrido ansiedad, depresión",No he sentido nada esto,"Sí, he seguido con cierto detalle las noticias sobre la guerra",Muy de acuerdo,Poco de acuerdo,Muy de acuerdo,Bastante de acuerdo,Poco de acuerdo,No lo sé,Con Israel,Regular,Regular,Muy bien,Muy mal,Mal,Muy mal,Bien,Bien,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, segundo ciclo y más",1.0505338384388516
643,Mujer,36,35-44,20.001 - 50.000,Alicante/Alacant,Comunitat Valenciana,No convivo con ningún/a hijo/a,Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3º y 4º de ESO COU PREU 1º y 2º Bachillerato hasta los,C,Ahorro/se ahorra un poco de dinero cada mes,"10 con toda seguridad, iría a votar",Sumar,PSOE (Partido Socialista Obrero Español),7,0 no le votaría nunca,0 no le votaría nunca,3,Sumar,4,Mucho,Mucho,Poco,Bastante,Mucho,Bastante,Bastante,Poco,Bastante,Siento o he sentido desánimo y/o pesimismo,No he sentido nada esto,No he sentido nada esto,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,No he sentido nada esto,No he sentido nada esto,No he sentido nada esto,Siento o he sentido desánimo y/o pesimismo,"Sí, he oído hablar de ella",Poco de acuerdo,Poco de acuerdo,Poco de acuerdo,Bastante de acuerdo,Bastante de acuerdo,Bastante de acuerdo,Con ninguno de los dos,Regular,Regular,Mal,Regular,No lo sé,No lo sé,No lo sé,No lo sé,Más de 10.000,Media,Trabaja,"Segundo grado, segundo ciclo",0.9603357642346235
644,Mujer,65,65+,20.001 - 50.000,Alicante/Alacant,Comunitat Valenciana,No convivo con ningún/a hijo/a,Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3º y 4º de ESO COU PREU 1º y 2º Bachillerato hasta los,C,Ahorro/se ahorra un poco de dinero cada mes,"10 con toda seguridad, iría a votar",PSOE (Partido Socialista Obrero Español),PSOE (Partido Socialista Obrero Español),10 le votaría siempre,0 no le votaría nunca,0 no le votaría nunca,5,PSOE (Partido Socialista Obrero Español),1,Bastante,Bastante,Poco,Bastante,Poco,Bastante,Poco,Bastante,Poco,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,No he sentido nada esto,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,No he sentido nada esto,No he sentido nada esto,Siento o he sentido desánimo y/o pesimismo,No he sentido nada esto,"Sí, he oído hablar de ella",Nada de acuerdo,Bastante de acuerdo,No lo sé,Muy de acuerdo,Bastante de acuerdo,Muy de acuerdo,Con Palestina,Regular,Mal,Regular,Regular,Regular,Regular,Mal,Mal,Más de 10.000,Media,Pensionista,"Segundo grado, segundo ciclo",1.1426497356922487
645,Mujer,27,25-34,10.001 - 20.000,Barcelona,Cataluña,"Sí, con uno/a de 0 a 8 años","Segundo Grado - 1º Ciclo (Graduado escolar, o EGB 2ª etapa, o 1º y 2º de ESO, hasta los 14 años)",E1,He tenido/se ha tenido que contraer deuda,9,JxCAT – Junts (Junts per Catalunya – Junts),JxCAT – Junts (Junts per Catalunya – Junts),4,2,2,2,JxCAT – Junts (Junts per Catalunya – Junts),7,Mucho,Bastante,Bastante,Mucho,Bastante,Bastante,Bastante,Mucho,Mucho,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,"Sufro o he sufrido ansiedad, depresión",Siento o he sentido desánimo y/o pesimismo,"Sufro o he sufrido ansiedad, depresión",Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,"Sí, he seguido con cierto detalle las noticias sobre la guerra",Muy de acuerdo,Bastante de acuerdo,Bastante de acuerdo,Bastante de acuerdo,Poco de acuerdo,Bastante de acuerdo,Con Israel,Regular,Regular,Regular,Regular,Regular,Regular,Regular,Regular,Más de 10.000,Media baja / Baja,Trabajo del hogar no remunerado,"Segundo grado, primer ciclo y menos",1.0737132747048588
646,Hombre,44,35-44,50.001 - 100.000,"Coruña, A",Galicia,"Sí, con uno/a de 13 a 17 años","Segundo Grado - 1º Ciclo (Graduado escolar, o EGB 2ª etapa, o 1º y 2º de ESO, hasta los 14 años)",C,Ahorro/se ahorra un poco de dinero cada mes,"10 con toda seguridad, iría a votar",PP (Partido Popular),PP (Partido Popular),5,7,2,2,PP (Partido Popular),5,Bastante,Bastante,Bastante,Mucho,Bastante,Poco,Poco,Bastante,Poco,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,"Sufro o he sufrido ansiedad, depresión",No he sentido nada esto,No he sentido nada esto,Siento o he sentido desánimo y/o pesimismo,"Sufro o he sufrido ansiedad, depresión","Sí, he seguido con cierto detalle las noticias sobre la guerra",Bastante de acuerdo,Muy de acuerdo,Nada de acuerdo,Bastante de acuerdo,Poco de acuerdo,Poco de acuerdo,Con Israel,Regular,Bien,Regular,Regular,Regular,No lo sé,Regular,Regular,Más de 10.000,Media,Trabaja,"Segundo grado, primer ciclo y menos",1.0110205940936272
647,Mujer,71,65+,100.001 - 500.000,Madrid,"Madrid, Comunidad de","Sí, con uno/a de 18 años o más",Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3º y 4º de ESO COU PREU 1º y 2º Bachillerato hasta los,A1,Llego/se llega justo a final de mes,No lo sé,Prefiero no contestar,Prefiero no contestar,0 no le votaría nunca,0 no le votaría nunca,No lo sé,0 no le votaría nunca,Prefiero no contestar,8,Bastante,No lo sé,Bastante,Bastante,Bastante,Bastante,Bastante,Bastante,No lo sé,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,No he sentido nada esto,Siento o he sentido desánimo y/o pesimismo,No he sentido nada esto,"Sí, he oído hablar de ella",Bastante de acuerdo,Nada de acuerdo,Bastante de acuerdo,No lo sé,No lo sé,Bastante de acuerdo,Con Israel,No lo sé,No lo sé,No lo sé,Muy mal,Muy mal,Muy mal,Muy mal,Bien,Más de 10.000,Alta / Media Alta,Pensionista,"Segundo grado, segundo ciclo",1.2658940465184227
648,Mujer,64,55-64,50.001 - 100.000,Lugo,Galicia,"Sí, con uno/a de 13 a 17 años",Tercer Grado (Máster),D,Llego/se llega justo a final de mes,7,Votaría nulo,Prefiero no contestar,3,1,8,10 le votaría siempre,No voté,9,No lo sé,Mucho,Nada,Poco,Poco,Mucho,Poco,Mucho,Mucho,"Sufro o he sufrido ansiedad, depresión",No he sentido nada esto,"Sufro o he sufrido ansiedad, depresión","Sufro o he sufrido ansiedad, depresión","Sufro o he sufrido ansiedad, depresión","Sufro o he sufrido ansiedad, depresión","Sufro o he sufrido ansiedad, depresión","Sufro o he sufrido ansiedad, depresión",No he sentido nada esto,"Sí, he oído hablar de ella",No lo sé,Bastante de acuerdo,No lo sé,Poco de acuerdo,Bastante de acuerdo,No lo sé,Con Israel,Muy mal,Bien,Mal,Bien,Bien,Regular,No lo sé,No lo sé,Más de 10.000,Media baja / Baja,Parado,"Tercer grado, segundo ciclo y más",0.9471296218827654
649,Mujer,49,45-54,20.001 - 50.000,Málaga,Andalucía,"Sí, con uno/a de 9 a 12 años",Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3º y 4º de ESO COU PREU 1º y 2º Bachillerato hasta los,B,Ahorro/se ahorra un poco de dinero cada mes,"10 con toda seguridad, iría a votar",Sumar,Sumar,5,0 no le votaría nunca,0 no le votaría nunca,7,Sumar,4,Mucho,Mucho,Poco,Mucho,Bastante,Bastante,Mucho,Mucho,Poco,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,No he sentido nada esto,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,No he sentido nada esto,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,"Sí, he oído hablar de ella",No lo sé,Bastante de acuerdo,No lo sé,Muy de acuerdo,Muy de acuerdo,No lo sé,Con ninguno de los dos,No lo sé,No lo sé,No lo sé,No lo sé,No lo sé,No lo sé,No lo sé,No lo sé,Más de 10.000,Alta / Media Alta,Parado,"Segundo grado, segundo ciclo",0.7588380575411139
650,Mujer,20,18-24,10.001 - 20.000,"Palmas, Las",Canarias,No convivo con ningún/a hijo/a,Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3º y 4º de ESO COU PREU 1º y 2º Bachillerato hasta los,A1,Ahorro/se ahorra bastante dinero cada mes,"10 con toda seguridad, iría a votar",PSOE (Partido Socialista Obrero Español),Nueva Canarias – Bloque Canarista,8,6,2,4,PSOE (Partido Socialista Obrero Español),3,Mucho,Mucho,Mucho,Bastante,Mucho,Poco,Bastante,Bastante,Poco,No he sentido nada esto,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,No he sentido nada esto,Siento o he sentido desánimo y/o pesimismo,No he sentido nada esto,No he sentido nada esto,No he sentido nada esto,Siento o he sentido desánimo y/o pesimismo,"Sí, he seguido con cierto detalle las noticias sobre la guerra",Poco de acuerdo,Poco de acuerdo,No lo sé,Bastante de acuerdo,Muy de acuerdo,Bastante de acuerdo,Con ambos por igual,Regular,Regular,Mal,Regular,Regular,Regular,Regular,Regular,Más de 10.000,Alta / Media Alta,Trabaja,"Segundo grado, segundo ciclo",1.081438192599466
651,Hombre,59,55-64,500.000+,Zaragoza,Aragón,"Sí, con uno/a de 18 años o más","Segundo Grado - 1º Ciclo (Graduado escolar, o EGB 2ª etapa, o 1º y 2º de ESO, hasta los 14 años)",D,He tenido/se ha tenido que contraer deuda,"10 con toda seguridad, iría a votar",España Vaciada,España Vaciada,2,5,7,3,España Vaciada,5,Bastante,Bastante,Bastante,Bastante,Mucho,Mucho,Bastante,Bastante,Mucho,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,"Sufro o he sufrido ansiedad, depresión","Sí, he seguido con cierto detalle las noticias sobre la guerra",Poco de acuerdo,Bastante de acuerdo,Poco de acuerdo,Bastante de acuerdo,Bastante de acuerdo,Bastante de acuerdo,Con Palestina,Regular,Regular,Regular,Regular,Regular,Regular,Regular,Regular,Más de 10.000,Media baja / Baja,Trabaja,"Segundo grado, primer ciclo y menos",0.848963688399481
652,Hombre,45,45-54,100.001 - 500.000,Huelva,Andalucía,No convivo con ningún/a hijo/a,Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3º y 4º de ESO COU PREU 1º y 2º Bachillerato hasta los,E1,He tenido/se ha tenido que contraer deuda,"10 con toda seguridad, iría a votar",No lo sé,Sumar,1,1,1,8,PP (Partido Popular),5,Mucho,Mucho,Mucho,Mucho,Bastante,Bastante,Mucho,Bastante,Mucho,"Sufro o he sufrido ansiedad, depresión","Sufro o he sufrido ansiedad, depresión","Sufro o he sufrido ansiedad, depresión","Sufro o he sufrido ansiedad, depresión","Sufro o he sufrido ansiedad, depresión","Sufro o he sufrido ansiedad, depresión",Siento o he sentido desánimo y/o pesimismo,"Sufro o he sufrido ansiedad, depresión",Siento o he sentido desánimo y/o pesimismo,"Sí, he oído hablar de ella",Bastante de acuerdo,Bastante de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Bastante de acuerdo,Con Israel,Bien,Bien,Bien,Mal,No lo sé,Regular,Regular,Bien,Más de 10.000,Media baja / Baja,Trabajo del hogar no remunerado,"Segundo grado, segundo ciclo",0.9556386367703306
653,Mujer,43,35-44,20.001 - 50.000,Córdoba,Andalucía,No convivo con ningún/a hijo/a,"Segundo Grado - 1º Ciclo (Graduado escolar, o EGB 2ª etapa, o 1º y 2º de ESO, hasta los 14 años)",E1,Llego/se llega justo a final de mes,"10 con toda seguridad, iría a votar",PSOE (Partido Socialista Obrero Español),PSOE (Partido Socialista Obrero Español),10 le votaría siempre,0 no le votaría nunca,0 no le votaría nunca,No lo sé,PSOE (Partido Socialista Obrero Español),0 extrema izquierda,Mucho,Mucho,Nada,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,No he sentido nada esto,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,"Sufro o he sufrido ansiedad, depresión","Sí, he seguido con cierto detalle las noticias sobre la guerra",No lo sé,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Con ninguno de los dos,No lo sé,No lo sé,No lo sé,No lo sé,No lo sé,No lo sé,No lo sé,No lo sé,Más de 10.000,Media baja / Baja,Trabajo del hogar no remunerado,"Segundo grado, primer ciclo y menos",0.9656274146978088
654,Mujer,24,18-24,20.001 - 50.000,Cantabria,Cantabria,No convivo con ningún/a hijo/a,Tercer Grado  1º Ciclo Equivalente a Ingeniero técnico 3 años Escuelas universitarias Ingenieros técnicos Arquitecto,C,Ahorro/se ahorra bastante dinero cada mes,9,PSOE (Partido Socialista Obrero Español),Sumar,10 le votaría siempre,0 no le votaría nunca,0 no le votaría nunca,9,PSOE (Partido Socialista Obrero Español),0 extrema izquierda,Mucho,Mucho,Bastante,Mucho,Mucho,Bastante,Bastante,Bastante,Bastante,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,No he sentido nada esto,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,No he sentido nada esto,No he sentido nada esto,"Sufro o he sufrido ansiedad, depresión","Sí, he seguido con cierto detalle las noticias sobre la guerra",Poco de acuerdo,Bastante de acuerdo,Nada de acuerdo,Bastante de acuerdo,Muy de acuerdo,Bastante de acuerdo,Con Palestina,Regular,Mal,Mal,Regular,Regular,Regular,Mal,Mal,Más de 10.000,Media,Trabaja,"Tercer grado, primer ciclo",0.8779542005070117
655,Mujer,20,18-24,100.001 - 500.000,"Palmas, Las",Canarias,No convivo con ningún/a hijo/a,Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3º y 4º de ESO COU PREU 1º y 2º Bachillerato hasta los,B,Llego/se llega justo a final de mes,"10 con toda seguridad, iría a votar",PSOE (Partido Socialista Obrero Español),PSOE (Partido Socialista Obrero Español),8,No lo sé,0 no le votaría nunca,0 no le votaría nunca,PSOE (Partido Socialista Obrero Español),6,Bastante,Mucho,Bastante,Bastante,Bastante,Bastante,Bastante,Bastante,Mucho,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,No he sentido nada esto,No he sentido nada esto,Siento o he sentido desánimo y/o pesimismo,"Sí, he oído hablar de ella",Muy de acuerdo,Bastante de acuerdo,No lo sé,Bastante de acuerdo,No lo sé,Poco de acuerdo,Con Palestina,Muy mal,Regular,Mal,Muy mal,Muy mal,Muy mal,Muy mal,Muy mal,Más de 10.000,Alta / Media Alta,Estudiante,"Segundo grado, segundo ciclo",0.6743081269551827
656,Hombre,56,55-64,< 10.000,Toledo,Castilla - La Mancha,"Sí, con uno/a de 18 años o más",Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3º y 4º de ESO COU PREU 1º y 2º Bachillerato hasta los,C,Ahorro/se ahorra un poco de dinero cada mes,"10 con toda seguridad, iría a votar",Vox,Vox,1,3,8,0 no le votaría nunca,Vox,5,Bastante,Bastante,Bastante,Bastante,Mucho,Mucho,Bastante,Mucho,Bastante,No he sentido nada esto,No he sentido nada esto,No he sentido nada esto,No he sentido nada esto,No he sentido nada esto,No he sentido nada esto,No he sentido nada esto,No he sentido nada esto,No he sentido nada esto,"Sí, he seguido con cierto detalle las noticias sobre la guerra",Muy de acuerdo,Poco de acuerdo,Poco de acuerdo,Bastante de acuerdo,Poco de acuerdo,Bastante de acuerdo,Con Israel,Regular,Regular,Regular,Mal,Mal,Muy mal,Regular,Regular,Menos de 10.000,Media,Trabaja,"Segundo grado, segundo ciclo",0.9442883528446
657,Mujer,68,65+,100.001 - 500.000,Cádiz,Andalucía,No convivo con ningún/a hijo/a,Sin estudios o con estudios primarios sin terminar,E1,Llego/se llega justo a final de mes,"10 con toda seguridad, iría a votar",PP (Partido Popular),PP (Partido Popular),0 no le votaría nunca,10 le votaría siempre,4,0 no le votaría nunca,PP (Partido Popular),7,Mucho,Mucho,Mucho,Poco,Mucho,Bastante,Bastante,Bastante,Poco,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,No he sentido nada esto,Siento o he sentido desánimo y/o pesimismo,No he sentido nada esto,No he sentido nada esto,No he sentido nada esto,No he sentido nada esto,"Sí, he seguido con cierto detalle las noticias sobre la guerra",Poco de acuerdo,Poco de acuerdo,Poco de acuerdo,Muy de acuerdo,Muy de acuerdo,Bastante de acuerdo,Con ninguno de los dos,Mal,Bien,Mal,Mal,Mal,Mal,Mal,Mal,Más de 10.000,Media baja / Baja,Trabajo del hogar no remunerado,"Segundo grado, primer ciclo y menos",1.0142144810341684
658,Mujer,20,18-24,20.001 - 50.000,Sevilla,Andalucía,"Sí, con uno/a de 0 a 8 años","Segundo Grado - 1º Ciclo (Graduado escolar, o EGB 2ª etapa, o 1º y 2º de ESO, hasta los 14 años)",E1,He tenido/se ha tenido que echar mano del ahorro,6,PSOE (Partido Socialista Obrero Español),PSOE (Partido Socialista Obrero Español),9,7,1,3,PSOE (Partido Socialista Obrero Español),5,Bastante,Bastante,Poco,Bastante,Poco,Poco,Poco,Poco,Poco,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,No he sentido nada esto,Siento o he sentido desánimo y/o pesimismo,No he sentido nada esto,No he sentido nada esto,No he sentido nada esto,No he sentido nada esto,Siento o he sentido desánimo y/o pesimismo,"Sí, he oído hablar de ella",Bastante de acuerdo,Bastante de acuerdo,Bastante de acuerdo,Bastante de acuerdo,No lo sé,No lo sé,Con ambos por igual,Regular,Bien,Bien,No lo sé,No lo sé,No lo sé,No lo sé,No lo sé,Más de 10.000,Media baja / Baja,Trabaja,"Segundo grado, primer ciclo y menos",0.8892668167061603
659,Hombre,26,25-34,10.001 - 20.000,Jaén,Andalucía,No convivo con ningún/a hijo/a,Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3º y 4º de ESO COU PREU 1º y 2º Bachillerato hasta los,A1,Ahorro/se ahorra un poco de dinero cada mes,"0 con toda seguridad, NO iría a votar",No votaría,Ninguno,0 no le votaría nunca,0 no le votaría nunca,0 no le votaría nunca,0 no le votaría nunca,No voté,No lo sé,Mucho,Bastante,Poco,Mucho,Mucho,Mucho,Bastante,Mucho,Mucho,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,No he sentido nada esto,No he sentido nada esto,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,No he sentido nada esto,Siento o he sentido desánimo y/o pesimismo,"Sí, he oído hablar de ella",No lo sé,No lo sé,No lo sé,Muy de acuerdo,No lo sé,No lo sé,Con Palestina,No lo sé,No lo sé,No lo sé,No lo sé,No lo sé,No lo sé,No lo sé,No lo sé,Más de 10.000,Alta / Media Alta,Estudiante,"Segundo grado, segundo ciclo",1.2826257735651698
